"Año","Periodo","PSOE","PP","Vox","Sumar","Unidos Podemos","Ciudadanos","Más País"
"2019",2,"33,3","16,7","5,9",,"14,5","15,3",
"2019",3,"30,2","17,2","11,9",,"12,9","13,6",
"2019",5,"36,5","11,4","5,3",,"15,3","16,3",
"2019",6,"39,5","13,7","5,1",,"12,7","15,8",
"2019",7,"41,3","13,7","4,6",,"13,1","12,3",
"2019",9,"34,2","17,1","7,5",,"15,5","12,9",
"2019",10,"32,2","18,1","7,9",,"14,6","10,6","2"
"2019",12,"28,3","20","15,2",,"12,8","5,6","2,3"
"2020",1,"30,4","19,9","13,4",,"13,8","6,5","1,8"
"2020",2,"30,9","18,9","13,4",,"13,4","8,1","1,6"
"2020",3,"31,9","19,6","14,8",,"12,9","7,2","1,2"
"2020",4,"31,2","21,1","13",,"12","7,6","1,5"
"2020",5,"31,1","20,3","11,3",,"11,5","10,5","1,4"
"2020",6,"31,2","20","12,5",,"11,4","9,4","1,3"
"2020",7,"32,1","21,2","11,6",,"12,1","8,8","0,9"
"2020",9,"31,5","18,1","11,7",,"12,2","10,6","1,5"
"2020",10,"30,8","18,9","12,5",,"11,7","8,8","1,8"
"2020",11,"30,4","18,6","13,2",,"11,4","9,5","1,8"
"2020",12,"29,5","19,2","14",,"10,8","10,5","2,4"
"2021",1,"30,7","20,5","13",,"10,7","9,3","1,5"
"2021",2,"30,7","18,8","13,6",,"11,2","9,3","1,7"
"2021",3,"31,3","17,9","15",,"9,6","9,5","2"
"2021",4,"31,5","20,6","15,4",,"10,7","6,7","1,9"
"2021",5,"27,9","23,4","13,7",,"10,4","5,3","3,8"
"2021",6,"27,4","23,9","13",,"12","5,7","4,1"
"2021",7,"28,6","23,4","13,6",,"10,6","5,5","3,7"
"2021",9,"29,6","20,5","13,8",,"11,3","6,5","3,3"
"2021",10,"28,5","22,1","13,2",,"11,8","6","3"
"2021",11,"27,6","20,9","14,3",,"13,6","5,7","3,1"
"2021",12,"28","20,8","14,6",,"13,7","5,9","2,2"
"2022",1,"28,5","21,5","14,7",,"13,1","4","2,8"
"2022",2,"28,6","21,3","14,8",,"13,6","4,8","2,5"
"2022",3,"31,5","23,8","16,3",,"11,8","3,2","2"
"2022",4,"30,3","27,2","14,4",,"10,7","2","2,1"
"2022",5,"30,3","28,7","16,6",,"9,6","1,8","2,1"
"2022",6,"29,2","27","16,5",,"9,8","1,9","1,9"
"2022",7,"28,2","30,1","12",,"13,4","1,7","1,9"
"2022",9,"29,2","28,5","10,3",,"12,8","2,8","1,9"
"2022",10,"32,7","28,7","8,8",,"12,7","2,7","1,1"
"2022",11,"32,7","27,2","10,1",,"12,2","2,5","1,5"
"2022",12,"30,6","28,6","10,2",,"12,4","2,9","1,3"
"2023",1,"30,2","28,5","10",,"14,2","2,9","0,9"
"2023",2,"32,1","29,8","10",,"12,7","2","0,7"
"2023",3,"32,7","28","10,1",,"10","2,4","0,8"
"2023",4,"30,4","26,1","11,1","10,6","6,7","2,8",
